case_id,tool,artifact_type,encoding,offset,url_raw,url_norm,window_index,tab_index,nav_order,note
case1,regex_baseline,url,ascii,4496408,https://apis.google.com,https://apis.google.com,,,,regex_match_no_context
case1,regex_baseline,url,ascii,4496432,https://ssl.gstatic.com,https://ssl.gstatic.com,,,,regex_match_no_context
case1,regex_baseline,url,ascii,4496456,https://www.google.com,https://www.google.com,,,,regex_match_no_context
case1,regex_baseline,url,ascii,4496479,https://www.googletagmanager.com,https://www.googletagmanager.com,,,,regex_match_no_context
case1,regex_baseline,url,ascii,4496512,https://www.gstatic.com,https://www.gstatic.com,,,,regex_match_no_context
case1,regex_baseline,url,ascii,4496536,https://www.google-analytics.com;report-uri,https://www.google-analytics.com;report-uri,,,,regex_match_no_context
case1,regex_baseline,url,ascii,4781630,https://github.com/,https://github.com,,,,regex_match_no_context
case1,regex_baseline,url,ascii,12426278,https://www.youtube.com,https://www.youtube.com,,,,regex_match_no_context
case1,regex_baseline,url,ascii,12475240,"http://127.0.0.1:4353/pervasive.js,3790EEB37E2A761CFD3B274CCF45CE5AB86A34DF11E28FB7ED4D82AFBBC13BEB","http://127.0.0.1:4353/pervasive.js,3790EEB37E2A761CFD3B274CCF45CE5AB86A34DF11E28FB7ED4D82AFBBC13BEB",,,,regex_match_no_context
case1,regex_baseline,url,ascii,16242911,http://www.unicode.org/copyright.html,http://www.unicode.org/copyright.html,,,,regex_match_no_context
case1,regex_baseline,url,utf-16le,7965658,http://schemas.microsoft.com/SMI/2005/WindowsSettings,http://schemas.microsoft.com/SMI/2005/WindowsSettings,,,,regex_match_no_context
case1,regex_baseline,url,ascii,32169782,https://chromewebstore.google.com/,https://chromewebstore.google.com,,,,regex_match_no_context
case1,regex_baseline,url,ascii,32173702,https://chrome.google.com/webstore,https://chrome.google.com/webstore,,,,regex_match_no_context
case1,regex_baseline,url,ascii,32381222,https://clients2.google.com/service/update2/crx,https://clients2.google.com/service/update2/crx,,,,regex_match_no_context
case1,regex_baseline,url,ascii,32415190,https://accounts.google.com/,https://accounts.google.com,,,,regex_match_no_context
case1,regex_baseline,url,ascii,32417014,https://www.googleapis.com/,https://www.googleapis.com,,,,regex_match_no_context
case1,regex_baseline,url,ascii,32518166,https://search.yahoo.com/search?ei=&fr=crmas_sfp&p=,https://search.yahoo.com/search?ei=&fr=crmas_sfp&p=,,,,regex_match_no_context
case1,regex_baseline,url,ascii,32682534,https://www.googleapis.com/oauth2/v1/userinfo,https://www.googleapis.com/oauth2/v1/userinfo,,,,regex_match_no_context
case1,regex_baseline,url,ascii,32682918,https://accounts.google.com/o/oauth2/revoke,https://accounts.google.com/o/oauth2/revoke,,,,regex_match_no_context
case1,regex_baseline,url,ascii,32683174,https://www.googleapis.com/oauth2/v4/token,https://www.googleapis.com/oauth2/v4/token,,,,regex_match_no_context
case1,regex_baseline,url,ascii,32684070,https://accounts.google.com/encryption/unlock/desktop,https://accounts.google.com/encryption/unlock/desktop,,,,regex_match_no_context
case1,regex_baseline,url,ascii,32684326,https://accounts.google.com/GetCheckConnectionInfo,https://accounts.google.com/GetCheckConnectionInfo,,,,regex_match_no_context
case1,regex_baseline,url,ascii,32684582,https://oauthaccountmanager.googleapis.com/v1/issuetoken,https://oauthaccountmanager.googleapis.com/v1/issuetoken,,,,regex_match_no_context
case1,regex_baseline,url,ascii,32685350,https://accounts.google.com/embedded/xreauth/chrome,https://accounts.google.com/embedded/xreauth/chrome,,,,regex_match_no_context
case1,regex_baseline,url,ascii,32685478,https://www.googleapis.com/reauth/v1beta/users/,https://www.googleapis.com/reauth/v1beta/users,,,,regex_match_no_context
case1,regex_baseline,url,ascii,32686118,https://accounts.google.com/embedded/setup/windows,https://accounts.google.com/embedded/setup/windows,,,,regex_match_no_context
case1,regex_baseline,url,ascii,32687142,https://accounts.google.com/embedded/reauth/chromeos,https://accounts.google.com/embedded/reauth/chromeos,,,,regex_match_no_context
case1,regex_baseline,url,ascii,32687270,https://accountcapabilities-pa.googleapis.com/,https://accountcapabilities-pa.googleapis.com,,,,regex_match_no_context
case1,regex_baseline,url,ascii,32687398,https://accounts.google.com/signin/chrome/sync?ssp=1,https://accounts.google.com/signin/chrome/sync?ssp=1,,,,regex_match_no_context
case1,regex_baseline,url,ascii,32688166,https://accounts.google.com/embedded/setup/v2/chromeos,https://accounts.google.com/embedded/setup/v2/chromeos,,,,regex_match_no_context
case1,regex_baseline,url,ascii,32688422,https://accounts.google.com/chrome/blank.html,https://accounts.google.com/chrome/blank.html,,,,regex_match_no_context
case1,regex_baseline,url,ascii,32688550,https://accounts.google.com/oauth/multilogin,https://accounts.google.com/oauth/multilogin,,,,regex_match_no_context
case1,regex_baseline,url,ascii,32689190,https://accounts.google.com/ListAccounts?json=standard,https://accounts.google.com/ListAccounts?json=standard,,,,regex_match_no_context
case1,regex_baseline,url,ascii,32689830,https://www.googleapis.com/oauth2/v2/tokeninfo,https://www.googleapis.com/oauth2/v2/tokeninfo,,,,regex_match_no_context
case1,regex_baseline,url,ascii,32895136,https://www.google.com%3Fhl%3Den-US,https://www.google.com%3fhl%3den-us,,,,regex_match_no_context
case1,regex_baseline,url,ascii,32896998,https://www.youtube.com/s/desktop/9318de79/jsbin/serviceworker-kevlar-appshell.vflset/serviceworker-kevlar-appshell.js,https://www.youtube.com/s/desktop/9318de79/jsbin/serviceworker-kevlar-appshell.vflset/serviceworker-kevlar-appshell.js,,,,regex_match_no_context
case1,regex_baseline,url,ascii,32938598,http://google.com/,http://google.com,,,,regex_match_no_context
case1,regex_baseline,url,ascii,33031750,https://accounts.google.com/embedded/setup/kidsignin/chromeos,https://accounts.google.com/embedded/setup/kidsignin/chromeos,,,,regex_match_no_context
case1,regex_baseline,url,ascii,33032470,https://accounts.google.com/embedded/setup/chrome/usermenu,https://accounts.google.com/embedded/setup/chrome/usermenu,,,,regex_match_no_context
case1,regex_baseline,url,ascii,33036502,https://accounts.google.com/embedded/setup/kidsignup/chromeos,https://accounts.google.com/embedded/setup/kidsignup/chromeos,,,,regex_match_no_context
case1,regex_baseline,url,ascii,33058886,https://accounts.google.com/encryption/unlock/desktop?kdi=CAIaDgoKY2hyb21lc3luYxAB,https://accounts.google.com/encryption/unlock/desktop?kdi=CAIaDgoKY2hyb21lc3luYxAB,,,,regex_match_no_context
case1,regex_baseline,url,ascii,33059046,https://accountcapabilities-pa.googleapis.com/v1/accountcapabilities:batchGet,https://accountcapabilities-pa.googleapis.com/v1/accountcapabilities:batchGet,,,,regex_match_no_context
case1,regex_baseline,url,ascii,33065446,https://safebrowsing.google.com/safebrowsing/clientreport/chrome-sct-auditing,https://safebrowsing.google.com/safebrowsing/clientreport/chrome-sct-auditing,,,,regex_match_no_context
case1,regex_baseline,url,ascii,33067046,https://sctauditing-pa.googleapis.com/v1/knownscts/length/$1/prefix/$2?key=dummytoken,https://sctauditing-pa.googleapis.com/v1/knownscts/length/$1/prefix/$2?key=dummytoken,,,,regex_match_no_context
case1,regex_baseline,url,ascii,33161474,https://support.google.com/chromebook?p=app_intent,https://support.google.com/chromebook?p=app_intent,,,,regex_match_no_context
case1,regex_baseline,url,ascii,33180072,https://www.example.comURL,https://www.example.comurl,,,,regex_match_no_context
case1,regex_baseline,url,ascii,33234557,https://chrome.google.com/webstore/category/extensions,https://chrome.google.com/webstore/category/extensions,,,,regex_match_no_context
case1,regex_baseline,url,ascii,33283855,https://chromeenterprise.google/policies/#BrowserSwitcherEnabled,https://chromeenterprise.google/policies,,,,regex_match_no_context
case1,regex_baseline,url,ascii,33288793,https://photos.google.com/settings?referrer=CHROME_NTP,https://photos.google.com/settings?referrer=CHROME_NTP,,,,regex_match_no_context
case1,regex_baseline,url,ascii,33289551,https://myactivity.google.com/,https://myactivity.google.com,,,,regex_match_no_context
case1,regex_baseline,url,ascii,33289717,https://policies.google.com/,https://policies.google.com,,,,regex_match_no_context
case1,regex_baseline,url,ascii,33396470,http://example.com,http://example.com,,,,regex_match_no_context
case1,regex_baseline,url,ascii,33396492,https://example.com.Use,https://example.com.use,,,,regex_match_no_context
case1,regex_baseline,url,ascii,33397616,https://support.google.com/chrome/a/answer/9122284,https://support.google.com/chrome/a/answer/9122284,,,,regex_match_no_context
case1,regex_baseline,url,ascii,33429872,https://support.google.com/chrome/answer/6098869,https://support.google.com/chrome/answer/6098869,,,,regex_match_no_context
case1,regex_baseline,url,ascii,33719555,https://accounts.google.com/*,https://accounts.google.com/*,,,,regex_match_no_context
case1,regex_baseline,url,ascii,36367691,http://crbug.com/717501,http://crbug.com/717501,,,,regex_match_no_context
case1,regex_baseline,url,ascii,36368323,http://crbug.com/839189,http://crbug.com/839189,,,,regex_match_no_context
case1,regex_baseline,url,ascii,36369443,https://crbug.com/1245093):,https://crbug.com/1245093):,,,,regex_match_no_context
case1,regex_baseline,url,ascii,36372617,https://codereview.chromium.org/25305002).,https://codereview.chromium.org/25305002).,,,,regex_match_no_context
case1,regex_baseline,url,ascii,36373160,http://crbug.com/497301,http://crbug.com/497301,,,,regex_match_no_context
case1,regex_baseline,url,ascii,36373316,http://crbug.com/514696,http://crbug.com/514696,,,,regex_match_no_context
