case_id,artifact_id,artifact_type,mode,window_index,tab_index,nav_order,timestamp,url_raw,url_norm,from_url_raw,from_url_norm,expected_context
case3,C3-01,url,normal,1,1,1,2023-03-14 07:45:53,https://www.wikipedia.org/,https://www.wikipedia.org,chrome://newtab,chrome://newtab,tab+order+url+from
case3,C3-02,url,normal,1,1,2,2023-03-14 07:46:02,https://en.wikipedia.org/wiki/Digital_forensics,https://en.wikipedia.org/wiki/Digital_forensics,https://www.wikipedia.org/,https://www.wikipedia.org,tab+order+url+from
case3,C3-03,url,normal,1,1,3,2023-03-14 07:46:44,https://en.wikipedia.org/wiki/Computer_forensics,https://en.wikipedia.org/wiki/Computer_forensics,https://en.wikipedia.org/wiki/Digital_forensics,https://en.wikipedia.org/wiki/Digital_forensics,tab+order+url+from
case3,C3-04,url,normal,1,1,4,2023-03-14 07:46:57,https://en.wikipedia.org/wiki/Digital_evidence,https://en.wikipedia.org/wiki/Digital_evidence,https://en.wikipedia.org/wiki/Computer_forensics,https://en.wikipedia.org/wiki/Computer_forensics,tab+order+url+from
case3,C3-05,url,normal,1,1,5,2023-03-14 07:47:11,https://en.wikipedia.org/wiki/Best_evidence_rule,https://en.wikipedia.org/wiki/Best_evidence_rule,https://en.wikipedia.org/wiki/Digital_evidence,https://en.wikipedia.org/wiki/Digital_evidence,tab+order+url+from
case3,C3-06,url,normal,1,2,1,2023-03-14 07:56:37,https://www.chromium.org/,https://www.chromium.org,chrome://newtab,chrome://newtab,tab+order+url+from
case3,C3-07,url,normal,1,2,2,2023-03-14 07:56:41,https://www.chromium.org/Home,https://www.chromium.org/Home,https://www.chromium.org/,https://www.chromium.org,tab+order+url+from
case3,C3-08,url,normal,1,2,3,2023-03-14 07:59:36,https://www.chromium.org/developers,https://www.chromium.org/developers,https://www.chromium.org/Home,https://www.chromium.org/Home,tab+order+url+from
case3,C3-09,url,normal,1,2,4,2023-03-14 07:59:37,https://www.chromium.org/developers/how-tos/getting-around-the-chrome-source-code,https://www.chromium.org/developers/how-tos/getting-around-the-chrome-source-code,https://www.chromium.org/developers,https://www.chromium.org/developers,tab+order+url+from
case3,C3-10,url,normal,1,2,5,2023-03-14 08:00:04,https://www.chromium.org/developers/design-documents/multi-process-architecture,https://www.chromium.org/developers/design-documents/multi-process-architecture,https://www.chromium.org/developers/how-tos/getting-around-the-chrome-source-code,https://www.chromium.org/developers/how-tos/getting-around-the-chrome-source-code,tab+order+url+from
