case_id,tool,artifact_type,session_id,window_index,tab_index,nav_order,time,title,url_raw,url_norm,referrer_raw,referrer_norm,group_name,group_color,tab_indexes,tab_count,note
case3,chracer,url,450578107,1,1,1,1601-01-01 00:00:00,,https://www.wikipedia.org/,https://www.wikipedia.org,,,,,,,object_layout_result
case3,chracer,url,450578107,1,1,2,1601-01-01 00:00:00,,https://en.wikipedia.org/wiki/Digital_forensics,https://en.wikipedia.org/wiki/Digital_forensics,https://www.wikipedia.org/,https://www.wikipedia.org,,,,,object_layout_result
case3,chracer,url,450578107,1,1,3,1601-01-01 00:00:00,,https://en.wikipedia.org/wiki/Computer_forensics,https://en.wikipedia.org/wiki/Computer_forensics,https://en.wikipedia.org/wiki/Digital_forensics,https://en.wikipedia.org/wiki/Digital_forensics,,,,,object_layout_result
case3,chracer,url,450578107,1,1,4,1601-01-01 00:00:00,,https://en.wikipedia.org/wiki/Digital_evidence,https://en.wikipedia.org/wiki/Digital_evidence,https://en.wikipedia.org/wiki/Computer_forensics,https://en.wikipedia.org/wiki/Computer_forensics,,,,,object_layout_result
case3,chracer,url,450578107,1,1,5,1601-01-01 00:00:00,,https://en.wikipedia.org/wiki/Best_evidence_rule,https://en.wikipedia.org/wiki/Best_evidence_rule,https://en.wikipedia.org/wiki/Digital_evidence,https://en.wikipedia.org/wiki/Digital_evidence,,,,,object_layout_result
case3,chracer,url,450578107,1,2,1,1601-01-01 00:00:00,,https://www.chromium.org/chromium-projects/,https://www.chromium.org/chromium-projects,https://www.chromium.org/,https://www.chromium.org,,,,,object_layout_result
case3,chracer,url,450578107,1,2,2,1601-01-01 00:00:00,,https://www.chromium.org/Home/,https://www.chromium.org/Home,https://www.chromium.org/chromium-projects/,https://www.chromium.org/chromium-projects,,,,,object_layout_result
case3,chracer,url,450578107,1,2,3,1601-01-01 00:00:00,,https://www.chromium.org/developers/,https://www.chromium.org/developers,https://www.chromium.org/Home/,https://www.chromium.org/Home,,,,,object_layout_result
case3,chracer,url,450578107,1,2,4,1601-01-01 00:00:00,,https://www.chromium.org/developers/how-tos/getting-around-the-chrome-source-code/,https://www.chromium.org/developers/how-tos/getting-around-the-chrome-source-code,https://www.chromium.org/developers/,https://www.chromium.org/developers,,,,,object_layout_result
case3,chracer,url,450578107,1,2,5,1601-01-01 00:00:00,,https://www.chromium.org/developers/design-documents/multi-process-architecture/,https://www.chromium.org/developers/design-documents/multi-process-architecture,https://www.chromium.org/developers/how-tos/getting-around-the-chrome-source-code/,https://www.chromium.org/developers/how-tos/getting-around-the-chrome-source-code,,,,,object_layout_result
